Id,Aum,DiscretionaryInvestmentAumPercent,AverageBasisPointsForAdvisory
714,225000000.0,2.0,75.0
715,270000000.0,99.0,100.0
716,185074929.0,0.0,96.0
717,185074929.0,0.0,96.0
718,199184645.0,62.0,110.0
719,50000000.0,100.0,95.0
720,199250632.87,100.0,1.12
721,199250632.87,100.0,1.21
722,141393887.0,37.0,84.0
723,160000000.0,40.0,100.0
724,71000000.0,0.0,125.0
725,66000000.0,95.0,100.0
726,14000000.0,100.0,75.0
727,14000000.0,100.0,75.0
728,180418550.0,0.0,125.0
729,180418550.0,0.0,125.0
730,196116421.0,0.0,100.0
731,61392309.14,17.0,1.15
732,61392309.14,17.0,1.15
734,250000000.0,100.0,72.0
735,250000000.0,100.0,72.0
736,265000000.0,30.0,0.8
737,265000000.0,30.0,0.8
738,25029519.0,87.38,1.4
739,25029519.0,87.38,1.4
740,60281942.0,0.0,1.3
742,88324829.0,0.0,1.4
743,157321000.0,0.0,100.0
744,57500055.0,80.0,125.0
745,57500055.0,80.0,125.0
746,60000000.0,95.0,1.15
747,60000000.0,95.0,1.15
748,164870013.79,64.0,100.0
749,164870013.79,64.0,100.0
750,13000000.0,0.0,0.0
752,79000000.0,82.0,1.15
753,37303929.0,100.0,100.0
754,37303929.0,100.0,100.0
755,28000000.0,98.0,1.15
756,79350000.0,95.0,100.0
757,78500000.0,50.0,1.3
758,185000000.0,20.0,100.0
759,185000000.0,20.0,100.0
760,79805871.0,0.0,76.0
761,184911173.0,85.0,100.0
762,64800000.0,63.0,91.0
763,63000000.0,0.0,1.0
764,105000000.0,0.0,150.0
765,55000000.0,95.0,120.0
766,417902635.0,36.0,78.0
767,452112645.0,51.0,0.75
768,35553736.0,0.0,0.25
769,98750000.0,82.0,1.15
770,13000000.0,97.0,1.2
771,35000000.0,75.0,100.0
773,115000000.0,90.0,128.0
775,234061869.34,100.0,129.0
776,234061869.34,100.0,129.0
777,130000000.0,90.0,1.0
778,114000000.0,100.0,1.16
779,80458507.0,65.0,100.0
780,425000000.0,0.0,100.0
781,49000000.0,0.0,0.0
