id,firmannualreportid,ispassive,isadvisor,age,ownershippercent,yearjoinedfirm
142,74,False,True,40.0,100.0,1998.0
143,75,False,True,52.0,50.0,1996.0
144,75,True,False,60.0,50.0,1996.0
145,76,False,True,63.0,100.0,2002.0
146,77,False,True,57.0,100.0,1979.0
147,78,False,True,66.0,100.0,2000.0
148,79,False,True,54.0,100.0,2009.0
149,80,False,True,53.0,100.0,2009.0
150,81,False,True,53.0,100.0,2009.0
151,82,False,True,53.0,100.0,2009.0
152,83,False,True,71.0,100.0,1990.0
153,84,False,True,48.0,60.0,2007.0
154,84,True,False,70.0,5.0,2003.0
155,84,False,True,65.0,5.0,2007.0
156,84,True,False,70.0,6.0,2003.0
157,84,True,False,60.0,24.0,2003.0
158,85,True,False,74.0,45.0,1987.0
159,85,False,True,49.0,20.0,2004.0
160,85,False,False,50.0,20.0,2009.0
161,85,False,False,45.0,7.0,2008.0
162,85,False,True,59.0,5.0,2015.0
163,85,False,True,50.0,3.0,2008.0
164,86,False,True,74.0,45.0,1987.0
165,86,False,True,49.0,20.0,2004.0
166,86,False,False,50.0,20.0,2009.0
167,86,False,False,45.0,7.0,2008.0
168,86,False,True,59.0,5.0,2015.0
169,86,False,True,50.0,3.0,2008.0
170,87,False,True,70.0,50.0,2012.0
171,87,False,True,36.0,50.0,2012.0
172,88,False,True,71.0,50.0,2013.0
173,88,False,True,38.0,50.0,2013.0
174,89,False,True,52.0,51.0,2011.0
175,89,True,False,41.0,49.0,2011.0
176,90,False,True,58.0,100.0,1990.0
177,91,False,True,59.0,20.0,2003.0
178,91,False,True,58.0,18.0,2003.0
179,92,False,True,34.0,50.0,2013.0
180,92,False,True,34.0,50.0,2013.0
181,93,False,True,45.0,100.0,2014.0
182,94,False,True,56.0,100.0,2005.0
183,95,False,True,56.0,100.0,2005.0
184,96,False,True,47.0,47.1,1995.0
185,96,False,True,47.0,23.5,2004.0
186,96,False,True,45.0,7.2,2001.0
187,96,False,True,57.0,9.1,1997.0
188,96,False,True,36.0,1.8,2006.0
189,96,False,True,50.0,1.8,2008.0
190,96,False,True,52.0,4.25,1993.0
191,96,False,True,55.0,4.25,1993.0
192,96,False,True,52.0,1.0,2007.0
193,97,False,True,72.0,80.0,1980.0
194,97,False,True,48.0,20.0,2001.0
195,98,False,True,49.0,42.2,1995.0
196,98,False,True,49.0,20.9,2004.0
197,98,False,True,50.0,9.0,1996.0
198,98,False,True,59.0,8.1,1997.0
199,98,False,True,47.0,6.4,2001.0
200,98,False,True,54.0,4.0,1995.0
201,98,False,True,62.0,3.0,2002.0
202,98,False,True,38.0,1.7,2006.0
203,98,False,True,52.0,1.7,2007.0
204,98,False,True,58.0,1.0,1995.0
205,98,False,True,54.0,1.0,2007.0
206,98,False,True,56.0,1.0,2007.0
207,99,False,True,47.0,47.1,1995.0
208,99,False,True,47.0,23.5,2004.0
209,99,False,True,45.0,7.2,2001.0
210,99,False,True,57.0,9.1,1997.0
211,99,False,True,36.0,1.8,2006.0
212,99,False,True,50.0,1.8,2008.0
213,99,False,True,52.0,4.25,1993.0
214,99,False,True,55.0,4.25,1993.0
215,99,False,True,52.0,1.0,2007.0
216,100,False,True,61.0,20.0,2000.0
217,100,False,True,59.0,20.0,2000.0
218,100,False,True,60.0,20.0,2004.0
219,100,False,True,57.0,20.0,2004.0
220,100,False,True,60.0,20.0,2006.0
221,101,False,True,61.0,20.0,2000.0
222,101,False,True,59.0,20.0,2000.0
223,101,False,True,60.0,20.0,2004.0
224,101,False,True,57.0,20.0,2004.0
225,101,False,True,60.0,20.0,2006.0
226,102,False,True,56.0,99.0,2003.0
227,102,False,True,50.0,1.0,2010.0
228,103,False,True,41.0,9.5,2014.0
229,103,False,True,39.0,9.5,2014.0
230,103,False,True,42.0,12.0,2014.0
231,103,True,False,60.0,69.0,2014.0
232,104,False,True,54.0,70.0,2000.0
233,104,False,True,46.0,30.0,1998.0
234,105,False,True,33.0,82.14,2008.0
235,105,True,False,52.0,8.8,2003.0
236,106,False,True,42.0,40.0,2006.0
237,106,False,True,71.0,60.0,2006.0
238,107,False,True,67.0,50.0,1991.0
239,107,False,True,56.0,50.0,1991.0
240,108,False,True,60.0,100.0,2001.0
241,109,False,True,63.0,100.0,2004.0
242,110,False,True,57.0,100.0,1996.0
243,111,False,True,48.0,75.0,1999.0
244,111,False,True,55.0,25.0,2006.0
245,112,False,True,48.0,75.0,1999.0
246,112,False,True,55.0,25.0,2006.0
247,113,False,True,45.0,68.0,2008.0
248,113,False,True,48.0,23.0,2003.0
249,113,False,True,59.0,9.0,2003.0
250,114,False,True,60.0,100.0,2012.0
251,115,False,True,45.0,100.0,2012.0
252,116,False,True,67.0,85.0,2006.0
253,116,False,True,33.0,15.0,2006.0
254,117,False,True,51.0,100.0,1987.0
255,118,False,True,45.0,100.0,1991.0
256,119,False,True,44.0,100.0,2013.0
257,120,False,True,46.0,100.0,2013.0
258,121,False,True,47.0,100.0,2013.0
259,122,False,True,50.0,100.0,2000.0
260,123,False,True,50.0,30.0,1998.0
261,123,False,False,63.0,30.0,2001.0
262,123,False,True,46.0,30.0,2006.0
263,123,False,False,53.0,10.0,2004.0
264,124,False,True,46.0,100.0,2013.0
265,125,False,True,47.0,100.0,2013.0
266,126,False,True,40.0,25.0,2001.0
267,127,False,True,47.0,25.0,2003.0
268,128,False,True,56.0,25.0,2003.0
269,129,False,True,55.0,25.0,2003.0
270,130,False,True,47.0,25.0,2003.0
271,130,False,True,40.0,25.0,2010.0
272,130,False,True,56.0,25.0,2003.0
273,130,False,True,55.0,25.0,2003.0
274,131,False,True,46.0,50.0,1999.0
275,131,False,True,42.0,50.0,1999.0
276,132,False,True,42.0,50.0,1999.0
277,132,False,True,47.0,50.0,1999.0
278,133,False,True,43.0,50.0,1999.0
279,133,False,True,48.0,50.0,1999.0
280,134,False,True,62.0,100.0,1990.0
281,135,False,True,47.0,100.0,2014.0
282,136,False,True,47.0,100.0,2014.0
283,137,False,True,50.0,100.0,1993.0
284,138,False,True,66.0,50.0,2002.0
285,138,False,True,42.0,50.0,2002.0
286,139,False,True,52.0,100.0,2005.0
287,140,False,False,40.0,100.0,2012.0
288,141,False,True,43.0,100.0,2007.0
289,142,True,True,67.0,25.0,1983.0
290,142,False,True,36.0,25.0,2011.0
291,142,False,True,36.0,25.0,2011.0
292,142,False,True,45.0,25.0,1998.0
293,143,True,True,68.0,25.0,1983.0
294,143,False,True,37.0,25.0,2011.0
295,143,False,True,37.0,25.0,2011.0
296,143,False,True,46.0,25.0,1998.0
297,144,False,True,38.0,33.0,2011.0
298,144,False,True,47.0,34.0,1995.0
299,144,False,True,38.0,33.0,2007.0
300,145,False,True,46.0,100.0,2007.0
301,146,False,True,48.0,85.0,2007.0
302,146,False,True,57.0,5.0,2015.0
303,146,False,False,47.0,10.0,2007.0
304,147,False,True,57.0,90.0,1999.0
305,147,False,True,26.0,10.0,2011.0
306,148,False,True,63.0,50.0,1994.0
307,148,False,True,58.0,50.0,1994.0
308,149,False,True,63.0,50.0,1994.0
309,149,False,True,58.0,50.0,1994.0
310,150,False,True,72.0,65.0,2008.0
