id,firmannualreportid,age,yearjoinedfirm
727,687,36.0,2016.0
728,689,47.0,2003.0
729,689,25.0,2015.0
730,689,29.0,2011.0
731,689,23.0,2016.0
732,689,25.0,2015.0
733,689,30.0,2009.0
734,690,47.0,2003.0
735,690,25.0,2015.0
736,690,29.0,2011.0
737,690,23.0,2016.0
738,690,25.0,2015.0
739,690,30.0,2009.0
740,694,44.0,2060.0
741,697,36.0,2017.0
742,711,49.0,2011.0
743,715,48.0,2015.0
744,715,63.0,2011.0
745,716,48.0,2015.0
746,716,63.0,2011.0
747,718,46.0,2009.0
748,727,64.0,2016.0
749,727,68.0,2004.0
750,727,33.0,2008.0
751,727,55.0,2012.0
752,732,27.0,2015.0
753,732,28.0,2012.0
754,732,30.0,2014.0
755,733,33.0,2014.0
756,739,40.0,2016.0
757,742,40.0,2002.0
758,742,39.0,2006.0
759,743,28.0,2013.0
760,743,30.0,2017.0
761,744,53.0,2004.0
762,744,44.0,2015.0
763,744,61.0,1995.0
